function,backend,dtype,n,max_ulp,p99_ulp,median_ulp,frac_gt1,frac_gt10,max_abs_err,nonfinite_mismatch,worst_x,worst_got,worst_ref,vec_scalar_mismatch,default_tol_fail,op_tol_fail,op_rtol,op_atol,seconds
i0,scipy,f32,619,0.4933320607054114,0.481014545689629,0.07313334768359425,0.0,0.0,7.171932513909403e+25,0,-0.1660783737897873,1.006907343864441,1.0069074026742053,,,,,,0.05
i0,jax,f32,619,2.6327858516099916,2.0831457022281668,0.953436363186752,0.3166397415185784,0.0,2.2646183004976656e+26,0,-0.012422505766153336,1.0000382661819458,1.0000385800344767,,,,,,0.22
i0,torch,f64,619,3.4616014323090676,2.5640214132385624,0.670594697627618,0.2940226171243942,0.0,2.8823037615171174e+17,0,-8.86630168417831e-06,1.000000000019652,1.0000000000196527,0,0,0,1e-07,1e-07,0.05
i0,scipy,f64,619,3.4616014323090676,3.29928283104146,0.6681654533338748,0.3295638126009693,0.0,2.8823037615171174e+17,0,-8.86630168417831e-06,1.000000000019652,1.0000000000196527,,,,,,0.05
i0,jax,f64,619,3.4616014323090676,2.5640214132385624,0.7528264887559617,0.33279483037156704,0.0,2.8823037615171174e+17,0,-8.86630168417831e-06,1.000000000019652,1.0000000000196527,,,,,,0.23
i0e,torch,f32,619,3.9410257257715346,3.850249724534545,0.6012877658604263,0.31179321486268174,0.0,2.3490343847853978e-07,0,-1.3712724467040971e-05,0.9999860525131226,0.999986287416561,0,0,0,1.3e-06,1e-05,0.1
i0e,scipy,f32,619,0.4965552089962213,0.4924087931424375,0.24847430310828236,0.0,0.0,2.9587381877860253e-08,0,-199.98773193359375,0.028228025883436203,0.028228026808342355,,,,,,0.09
i0e,jax,f32,619,4.423870087362748,3.9187023825705998,0.7758870729957845,0.42487883683360256,0.0,2.6368320504843723e-07,0,-0.04454812407493591,0.956904411315918,0.9569041476327129,,,,,,0.09
i0e,torch,f64,619,4.688526024491442,3.806186012048984,0.7679716646057617,0.39095315024232635,0.0,5.551115123125783e-16,0,-5.0003068424910895e-05,0.9999499988067526,0.9999499988067532,0,0,0,1e-07,1e-07,0.09
i0e,scipy,f64,619,5.80848133850735,4.456676003559975,0.7877642750266441,0.41195476575121165,0.0,6.661338147750939e-16,0,-0.009847160957933764,0.990225167831911,0.9902251678319116,,,,,,0.09
i0e,jax,f64,619,4.688526024491442,3.806186012048984,0.7679716646057617,0.40064620355411956,0.0,5.551115123125783e-16,0,-5.0003068424910895e-05,0.9999499988067526,0.9999499988067532,,,,,,0.09
i1,torch,f32,619,8.5605203053868,4.001481627372624,0.8634185997395954,0.3780290791599354,0.0,8.01534731186511e+25,0,-7.5222578048706055,-254.8680419921875,-254.86791136901388,0,0,0,1.3e-06,0.0001,0.06
i1,scipy,f32,619,0.5,0.4925715169403999,0.07048878350167428,0.0,0.0,7.458903179202144e+25,0,-1.401298464324817e-45,-1.401298464324817e-45,-7.006492321624085e-46,,,,,,0.05
i1,jax,f32,619,4194304.0,9.258171188447847,0.9097610368404466,0.38449111470113084,0.006462035541195477,8.01534731186511e+25,0,-1.1754943508222875e-38,-0.0,-5.877471754111438e-39,,,,,,0.1
i1,torch,f64,619,7.692515011445035,3.5885387539790896,1.0234549400804884,0.5121163166397416,0.0,2.8823037615171174e+17,0,-7.522257842369878,-254.86792036483678,-254.867920364837,0,0,0,1e-07,1e-07,0.06
i1,scipy,f64,619,4.753128228268974,4.520077168038971,1.1014150644083807,0.5638126009693053,0.0,2.8823037615171174e+17,0,-6.458130419316621,-93.98853149777777,-93.98853149777784,,,,,,0.05
i1,jax,f64,619,2251799813685248.0,3.858224087205427,0.9872051623893383,0.49596122778675283,0.006462035541195477,34359738368.0,0,-2.2250738585072014e-308,-0.0,-1.1125369292536007e-308,,,,,,0.1
i1e,torch,f32,619,4.166905189103034,3.364350109740374,0.6140510208460348,0.2875605815831987,0.0,6.209172589977108e-08,0,-7.071284770965576,-0.1416604369878769,-0.141660374896151,0,0,0,1.3e-06,1e-05,0.11
i1e,scipy,f32,619,0.5,0.496976303539485,0.24467437057154928,0.0,0.0,7.340495461471974e-09,0,-1.401298464324817e-45,-1.401298464324817e-45,-7.006492321624085e-46,,,,,,0.1
i1e,jax,f32,619,4194304.0,3.933096193676195,0.6142040284816684,0.2875605815831987,0.006462035541195477,6.209172589977108e-08,0,-1.1754943508222875e-38,-0.0,-5.877471754111438e-39,,,,,,0.1
i1e,torch,f64,619,5.44556599014719,3.8067406062173874,0.6829631800919203,0.35864297253634897,0.0,1.1102230246251565e-16,0,-1.3818733056536336e-08,-6.909366432789473e-09,-6.909366432789477e-09,0,0,0,1e-07,1e-07,0.1
i1e,scipy,f64,619,4.571317564884511,3.7168039970854294,0.6511979189115148,0.3182552504038772,0.0,8.326672684688674e-17,0,-4.0615859883769794e-08,-2.0307929117060866e-08,-2.0307929117060883e-08,,,,,,0.09
i1e,jax,f64,619,2251799813685248.0,4.378644411622501,0.7798352979095527,0.39095315024232635,0.006462035541195477,1.1102230246251565e-16,0,-2.2250738585072014e-308,-0.0,-1.1125369292536007e-308,,,,,,0.09
ndtri,torch,f32,718,2.5755280878148024,1.991831706405437,0.3689644612954295,0.09610027855153204,0.0,1.1308313752067534e-06,0,0.8999999761581421,1.2815511226654053,1.2815514296922788,0,0,0,1.3e-06,1e-05,0.57
ndtri,scipy,f32,718,0.49814706698957006,0.491729218341192,0.24224141008004352,0.0,0.0,4.654920129354423e-07,0,2.9619102309697e-11,-6.545647144317627,-6.545647381852659,,,,,,0.56
ndtri,jax,f32,718,2.458091021290647,2.1372194925295003,0.37881580159806283,0.11731843575418995,0.0,1.3317107452337495e-06,2,0.16979865729808807,-0.9549610614776611,-0.9549612079913032,,,,,,1.25
ndtri,torch,f64,740,2.05056998397319,1.6129261845134786,0.4330316012888851,0.10945945945945947,0.0,7.105427357601002e-15,0,0.11073825503355705,-1.2226113873241302,-1.2226113873241298,0,0,0,1e-07,1e-07,0.63
ndtri,scipy,f64,740,2.248136622450158,1.6800786394059384,0.43233631146360413,0.10810810810810811,0.0,7.105427357601002e-15,0,0.8677852348993289,1.1159827226865917,1.1159827226865913,,,,,,0.62
ndtri,jax,f64,740,2.8456322927640345,1.8148706006439324,0.44303168336396487,0.1445945945945946,0.0,7.105427357601002e-15,0,0.8409395973154363,0.9983270284611842,0.9983270284611845,,,,,,1.21
log_ndtr,torch,f32,619,86.22609603468487,27.66622139941068,0.38201344580365215,0.11631663974151858,0.01615508885298869,3.791127278418571e-05,0,11.379508018493652,-2.64488109725976e-30,-2.644864879933555e-30,0,0,0,1.3e-06,1e-05,0.05
log_ndtr,scipy,f32,619,0.49787600081123595,0.49538160560682815,0.2497483452898991,0.0,0.0,1.8089813238475472e-05,0,2.0521151782304514e-06,-0.6931455135345459,-0.6931455432102681,,,,,,0.05
log_ndtr,jax,f32,619,342453.851664897,398.14939535419745,0.3723635262708467,0.12277867528271405,0.03715670436187399,7.912496948847547e-05,0,13.193235397338867,-0.0,-4.798800564401389e-40,,,,,,0.67
log_ndtr,torch,f64,619,822.2360058231756,191.36249229384478,0.41744947335924143,0.1518578352180937,0.046849757673667204,2.2737367544323206e-13,0,29.758041100857888,-6.8238515313823746e-195,-6.823851531383e-195,0,0,0,1e-07,1e-07,0.05
log_ndtr,scipy,f64,619,956.9035053554888,155.03813855238948,0.5923323347521939,0.2310177705977383,0.0420032310177706,2.2737367544323206e-13,0,37.148910241735805,-2.2826469946243275e-302,-2.2826469946245754e-302,,,,,,0.05
log_ndtr,jax,f64,619,7180400691747.213,1457616.9148603086,0.4591359110985318,0.1777059773828756,0.07754442649434572,3.227199840694084e-09,0,7.86237773609544,-1.887379141862768e-15,-1.8845469731679975e-15,,,,,,0.64
logit,torch,f32,718,73.20322899881826,6.546991755592153,0.2776433222931426,0.05013927576601671,0.005571030640668524,3.750459868001599e-06,0,0.4973154366016388,-0.010738424956798553,-0.010738356780978852,0,0,0,1.3e-06,1e-05,0.03
logit,scipy,f32,718,1.2214990412675155,0.8316648998006181,0.25870196207449675,0.001392757660167131,0.0,3.750459868001599e-06,0,0.6798657774925232,0.7531551122665405,0.7531550394595241,,,,,,0.02
logit,jax,f32,718,73.20322899881826,6.5547414942019,0.27775446621358946,0.051675977653631286,0.00558659217877095,3.750459868001599e-06,2,0.4973154366016388,-0.010738424956798553,-0.010738356780978852,,,,,,0.08
logit,torch,f64,740,40.55131479750184,2.0481179155318303,0.2727812226927087,0.03783783783783784,0.002702702702702703,7.105427357601002e-15,0,0.5026845637583893,0.010738358221132912,0.010738358221132841,0,0,0,1e-07,1e-07,0.03
logit,scipy,f64,740,1.1198246638305354,0.7772247989732899,0.2623282065286242,0.002702702702702703,0.0,7.105427357601002e-15,0,0.13221476510067115,-1.8815166500338691,-1.881516650033869,,,,,,0.02
logit,jax,f64,740,40.55131479750184,2.0481179155318303,0.2727812226927087,0.03783783783783784,0.002702702702702703,7.105427357601002e-15,0,0.5026845637583893,0.010738358221132912,0.010738358221132841,,,,,,0.08
sinc,torch,f32,616,3.609549390969308e+37,2.722382090158621e+37,0.5000167808416779,0.36688311688311687,0.30357142857142855,6.452184697636199e-08,0,-100000.0,5.05805601846987e-08,0.0,0,0,0,1.3e-06,1e-05,0.03
sinc,numpy,f32,616,3.609549390969308e+37,2.722382343688741e+37,0.49380809096927286,0.36688311688311687,0.30357142857142855,6.452184697636199e-08,0,-100000.0,5.05805601846987e-08,0.0,,,,,,0.02
sinc,jax,f32,616,3.609549390969308e+37,2.722382090158621e+37,0.31820562579376527,0.36038961038961037,0.30357142857142855,6.040021105491288e-08,0,-100000.0,5.05805601846987e-08,0.0,,,,,,0.07
sinc,torch,f64,616,2.1879707685167666e+307,7.889987626810099e+306,0.5836657579133164,0.3685064935064935,0.30357142857142855,1.2234543890141114e-16,0,-100000.0,-1.0810011908290048e-16,0.0,0,0,0,1e-07,1e-07,0.03
sinc,numpy,f64,616,2.1879707685167666e+307,7.889987626810099e+306,0.5836657579133164,0.3685064935064935,0.30357142857142855,1.2234543890141114e-16,0,-100000.0,-1.0810011908290048e-16,0.0,,,,,,0.02
